# git=04eb6e8-dirty  tag=phase1  date=2026-05-17T06:47:39Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,reverse,baseline,100000,1,0,1,0.00,0.00,0.00,3031040,2425600,33311165,11779986
micro,reverse,baseline,100000,2,0,1,0.00,0.00,0.00,3031040,2425600,33299150,11712545
micro,reverse,baseline,100000,3,0,1,0.00,0.00,0.00,3031040,2425600,33306769,11835837
micro,reverse,jit,100000,1,0,1,0.00,0.00,0.00,3080192,2425600,33416099,12322195
micro,reverse,jit,100000,2,0,1,0.00,0.00,0.00,3080192,2425600,33426653,12332747
micro,reverse,jit,100000,3,0,1,0.00,0.00,0.00,3080192,2425600,33395226,12770308
micro,reverse,baseline,1000000,1,0,19,0.02,0.01,0.00,10240000,9634560,183714246,67766611
micro,reverse,baseline,1000000,2,0,18,0.02,0.01,0.00,10240000,9634560,182544125,65509128
micro,reverse,baseline,1000000,3,0,17,0.02,0.01,0.00,10240000,9634560,182524340,63236266
micro,reverse,jit,1000000,1,0,18,0.02,0.01,0.00,10289152,9634560,182890561,64855258
micro,reverse,jit,1000000,2,0,18,0.02,0.01,0.00,10289152,9634560,183042693,66441548
micro,reverse,jit,1000000,3,0,19,0.02,0.01,0.00,10289152,9634560,183043605,68013849
micro,scan,baseline,10000,1,0,0,0.00,0.00,0.00,2293760,1721152,19052222,7166637
micro,scan,baseline,10000,2,0,0,0.00,0.00,0.00,2293760,1704704,18985151,7978300
micro,scan,baseline,10000,3,0,0,0.00,0.00,0.00,2293760,1704704,18932520,7032122
micro,scan,jit,10000,1,0,0,0.00,0.00,0.00,2375680,1721152,19067985,7076516
micro,scan,jit,10000,2,0,0,0.00,0.00,0.00,2375680,1704704,19048701,6872976
micro,scan,jit,10000,3,0,0,0.00,0.00,0.00,2375680,1721152,19192976,7161718
micro,scan,baseline,100000,1,0,2,0.00,0.00,0.00,3014656,2425600,38351932,14632015
micro,scan,baseline,100000,2,0,2,0.00,0.00,0.00,3014656,2425600,38339970,14399940
micro,scan,baseline,100000,3,0,2,0.00,0.00,0.00,3014656,2425600,38361274,14551637
micro,scan,jit,100000,1,0,2,0.00,0.00,0.00,3096576,2425600,38493907,14683897
micro,scan,jit,100000,2,0,2,0.00,0.00,0.00,3096576,2442048,38599512,15128774
