# git=d4f160a  tag=baseline  date=2026-05-17T06:04:00Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,scan,baseline,10000,1,0,0,0.00,0.00,0.00,2342912,1704704,19069048,7122003
micro,scan,baseline,10000,2,0,0,0.00,0.00,0.00,2342912,1704704,18967537,7612830
micro,scan,baseline,10000,3,0,0,0.00,0.00,0.00,2342912,1704704,19036200,7452425
micro,scan,jit,10000,1,0,0,0.00,0.00,0.00,2359296,1704704,19060209,6907515
micro,scan,jit,10000,2,0,0,0.00,0.00,0.00,2359296,1704704,19107401,7590389
micro,scan,jit,10000,3,0,0,0.04,0.00,0.00,2359296,1704704,19169900,8700643
micro,scan,baseline,100000,1,0,3,0.00,0.00,0.00,3063808,2425600,38753482,15398037
micro,scan,baseline,100000,2,0,2,0.00,0.00,0.00,3063808,2425600,38521491,14216334
micro,scan,baseline,100000,3,0,2,0.00,0.00,0.00,3063808,2425600,38430209,14353624
micro,scan,jit,100000,1,0,2,0.00,0.00,0.00,3080192,2425600,38665479,15176803
micro,scan,jit,100000,2,0,2,0.00,0.00,0.00,3080192,2442048,38518777,14640497
micro,scan,jit,100000,3,0,2,0.00,0.00,0.00,3080192,2425600,38491314,14294160
micro,scan,baseline,1000000,1,0,27,0.02,0.02,0.00,10272768,9651008,233302155,92225775
micro,scan,baseline,1000000,2,0,25,0.02,0.02,0.00,10305536,9683776,232573467,87868343
micro,scan,baseline,1000000,3,0,26,0.02,0.02,0.00,10272768,9634560,233637037,91510207
micro,scan,jit,1000000,1,0,26,0.02,0.02,0.00,10289152,9634560,234361859,90904234
micro,scan,jit,1000000,2,0,26,0.02,0.01,0.00,10289152,9634560,233244709,90954777
micro,scan,jit,1000000,3,0,26,0.02,0.02,0.00,10289152,9634560,233742245,90228118
micro,sort,baseline,10000,1,0,0,0.00,0.00,0.00,2473984,1835776,22766629,8326110
micro,sort,baseline,10000,2,0,0,0.00,0.00,0.00,2473984,1852224,22683098,8530103
micro,sort,baseline,10000,3,0,0,0.00,0.00,0.00,2473984,1835776,22680406,8791704
micro,sort,jit,10000,1,0,0,0.00,0.00,0.00,2490368,1835776,22765217,8427451
micro,sort,jit,10000,2,0,0,0.00,0.00,0.00,2490368,1852224,22813034,8840001
micro,sort,jit,10000,3,0,0,0.00,0.00,0.00,2490368,1835776,22775715,8424908
micro,sort,baseline,100000,1,0,8,0.01,0.00,0.00,4276224,3638016,75565862,31476246
micro,sort,baseline,100000,2,0,7,0.01,0.00,0.00,4276224,3654464,75390968,31818096
micro,sort,baseline,100000,3,0,7,0.01,0.00,0.00,4276224,3638016,75371873,31751726
micro,sort,jit,100000,1,0,7,0.01,0.00,0.00,4292608,3654464,75556277,31953514
micro,sort,jit,100000,2,0,7,0.01,0.00,0.00,4292608,3638016,75481357,31925883
micro,sort,jit,100000,3,0,7,0.01,0.00,0.00,4292608,3638016,75473092,31412121
micro,sort,baseline,1000000,1,0,98,0.10,0.08,0.01,22298624,21693312,607732650,322802451
micro,sort,baseline,1000000,2,0,98,0.10,0.08,0.01,22298624,21676864,608298379,320154515
micro,sort,baseline,1000000,3,0,98,0.10,0.08,0.01,22298624,21693312,608019286,320488378
micro,sort,jit,1000000,1,0,100,0.10,0.08,0.01,22315008,21676864,607310092,327639880
micro,sort,jit,1000000,2,0,99,0.10,0.08,0.01,22315008,21676864,608113994,322394214
micro,sort,jit,1000000,3,0,100,0.10,0.08,0.01,22315008,21676864,607600491,328073975
micro,sqrt_vec,baseline,10000,1,0,0,0.00,0.00,0.00,2342912,1704704,18952660,7110338
micro,sqrt_vec,baseline,10000,2,0,0,0.00,0.00,0.00,2342912,1704704,18784632,6815786
micro,sqrt_vec,baseline,10000,3,0,0,0.00,0.00,0.00,2342912,1721152,18818425,7746905
micro,sqrt_vec,jit,10000,1,0,0,0.00,0.00,0.00,2375680,1704704,18891688,6738629
micro,sqrt_vec,jit,10000,2,0,0,0.00,0.00,0.00,2375680,1704704,19046454,7250521
micro,sqrt_vec,jit,10000,3,0,0,0.00,0.00,0.00,2375680,1704704,18888438,7015268
micro,sqrt_vec,baseline,100000,1,0,2,0.00,0.00,0.00,3063808,2425600,35970349,12892287
micro,sqrt_vec,baseline,100000,2,0,2,0.00,0.00,0.00,3063808,2425600,35982065,12967503
micro,sqrt_vec,baseline,100000,3,0,2,0.00,0.00,0.00,3145728,2507520,36177905,13940723
micro,sqrt_vec,jit,100000,1,0,2,0.00,0.00,0.00,3096576,2425600,36057762,12783185
